Latitude,Longitude,Clone
44.89648983,-88.50434389,
44.89594989,-88.50435789,
44.89540995,-88.50437189,
44.89487001,-88.50438589,
44.89433007,-88.50439989,
44.89379012,-88.50441389,
44.90133934,-88.50345817,
44.9007994,-88.50347218,
44.90025946,-88.50348619,N2
44.89971952,-88.5035002,
44.89917958,-88.50351421,E1
44.89863964,-88.50352822,
44.8980997,-88.50354222,N3
44.89755976,-88.50355623,
44.89701982,-88.50357024,
44.89647988,-88.50358425,
44.89593994,-88.50359825,
44.8954,-88.50361226,
44.89486005,-88.50362627,
44.89432011,-88.50364027,
44.90132938,-88.50269846,
44.90078944,-88.50271248,
44.9002495,-88.50272649,
44.89970956,-88.50274051,
44.89916962,-88.50275453,
44.89862968,-88.50276854,
44.89808974,-88.50278256,N3
44.8975498,-88.50279657,
44.89700986,-88.50281059,
44.89646992,-88.5028246,
44.89592998,-88.50283861,N3
44.89539004,-88.50285263,
44.8948501,-88.50286664,
44.90131942,-88.50193875,
44.90077948,-88.50195277,
44.90023954,-88.5019668,
44.8996996,-88.50198082,
44.89915966,-88.50199484,
44.89861972,-88.50200887,
44.89807978,-88.50202289,
44.89753984,-88.50203691,
44.8969999,-88.50205093,
44.89645996,-88.50206495,
44.89592002,-88.50207897,
44.89538007,-88.50209299,
44.90130945,-88.50117904,
44.90076951,-88.50119307,
44.90022957,-88.5012071,
44.89968963,-88.50122113,
44.89914969,-88.50123516,
44.89860975,-88.50124919,
44.89806981,-88.50126322,
44.89752987,-88.50127725,
44.89698993,-88.50129128,
44.89644999,-88.50130531,
44.89591005,-88.50131934,
44.89537011,-88.50133336,
44.90129947,-88.50041933,
44.90075953,-88.50043337,
44.90021959,-88.50044741,
44.89967965,-88.50046144,
44.89913971,-88.50047548,
44.89859977,-88.50048952,
44.89805983,-88.50050355,
44.89751989,-88.50051759,
44.89697995,-88.50053163,
44.89644001,-88.50054566,
44.89590007,-88.5005597,
44.89536013,-88.50057373,
44.89482019,-88.50058777,
44.89428025,-88.5006018,
44.90128949,-88.49965962,
44.90074955,-88.49967367,
44.90020961,-88.49968771,
44.89966967,-88.49970176,
44.89912973,-88.4997158,
44.8985898,-88.49972984,
44.89804986,-88.49974389,
44.89750992,-88.49975793,
44.89696998,-88.49977197,
44.89643004,-88.49978602,
44.8958901,-88.49980006,
44.89535016,-88.4998141,E2
44.89481022,-88.49982814,E3
44.89427028,-88.49984218,N4
44.89373033,-88.49985622,
44.90127951,-88.49889991,
44.90073957,-88.49891396,
44.90019963,-88.49892802,
44.89965969,-88.49894207,
44.89911975,-88.49895612,
44.89857981,-88.49897017,
44.89803987,-88.49898422,
44.89749993,-88.49899827,
44.89695999,-88.49901232,
44.89642005,-88.49902637,
44.89588011,-88.49904042,
44.89534017,-88.49905447,
44.89480023,-88.49906852,
44.89426029,-88.49908257,
44.89372035,-88.49909661,
44.89318041,-88.49911066,
44.90126952,-88.4981402,
44.90072958,-88.49815426,
44.90018964,-88.49816832,
44.8996497,-88.49818238,
